"<span style="font-style: normal;">ISO Week Number</span>","Average Weekly Bid-Offer Spread - all years pre-2021 (�/MWh)","Average Weekly Bid-Offer Spread - 2025 (�/MWh)","Average Weekly Bid-Offer Spread - 2024 (�/MWh)","Average Weekly Bid-Offer Spread - 2023 (�/MWh)","Average Weekly Bid-Offer Spread - 2022 (�/MWh)"
1,0.27,0.48,0.56,0.75,0.88
2,0.22,0.3,0.49,0.85,0.9
3,0.28,0.36,0.29,0.8,1
4,0.24,0.48,0.43,0.9,0.9
5,0.25,0.45,0.33,0.7,1
6,0.28,0.4,0.33,0.7,0.9
7,0.26,0.36,0.34,0.7,0.99
8,0.25,0.53,0.39,0.9,1
9,0.24,0.74,0.58,0.6,1
10,0.29,0.65,0.6,0.9,0.8
11,0.22,0.77,0.46,0.9,0.9
12,0.25,0.85,0.59,1,1
13,0.19,0.59,0.625,0.75,0.9
14,0.23,,0.2875,0.75,0.7
15,0.19,,0.17,0.69,1
16,0.15,,0.2,0.65,0.88
17,0.18,,0.32,0.4,1
18,0.18,,0.3,0.63,1
19,0.15,,0.1875,0.63,1
20,0.19,,0.21,0.55,0.5
21,0.2,,0.52,0.9,0.9
22,0.18,,0.5,0.63,0.83
23,0.17,,0.28,0.7,1
24,0.2,,0.62,0.8,1
25,0.24,,0.56,0.65,1
26,0.22,,0.54,0.8,1
27,0.28,,0.19,0.5,0.9
28,0.28,,0.15,0.44,1
29,0.24,,0.3,0.45,0.9
30,0.26,,0.25,0.4,0.8
31,0.3,,0.19,0.42,0.8
32,0.29,,0.19,0.55,0.9
33,0.28,,0.49,0.6,0.9
34,0.23,,0.64,0.8,1
35,0.3,,0.85,0.86,0.88
36,0.28,,0.43,0.42,0.9
37,0.29,,0.66,1,1
38,0.27,,0.66,0.9,0.9
39,0.28,,0.59,0.79,1
40,0.27,,0.4,0.34,0.8
41,0.21,,0.32,0.52,0.6
42,0.25,,0.22,0.44,0.7
43,0.19,,0.25,0.5,0.7
44,0.25,,0.33,0.7,0.8
45,0.28,,0.33,0.5,0.7
46,0.21,,0.43,0.5,0.6
47,0.22,,0.27,0.7,0.8
48,0.23,,0.63,0.7,0.9
49,0.35,,0.47,0.45,1
50,0.32,,0.4,0.64,0.9
51,0.26,,0.6,0.35,0.8
52,0.46,,1,0.6,1
53,0.77,,,,